,rf,rs,test-f1,train-f1,abs_diff
sim_29,0.9798133408150794,0.8015976834786257,0.1749651000465333,0.9932607568688441,0.8182956568223108
sim_81,0.8006810983073137,0.9725440084948846,0.17379182156133832,1.0,0.8262081784386617
sim_25,0.8242481490490836,0.9546067268782339,0.17126813289658402,1.0,0.828731867103416
sim_24,0.9208276220989291,0.7906378992829322,0.17125524965002334,0.9906444906444904,0.8193892409944671
sim_53,0.9138167808317387,0.9403197309491591,0.1708846064546088,0.9996565934065934,0.8287719869519846
sim_78,0.9648896785731726,0.6681430922210899,0.16905376849025594,0.9474254742547426,0.7783717057644866
sim_0,0.9971827866795738,0.7109286133290278,0.1686182669789227,0.9673990077958895,0.7987807408169668
sim_90,0.8908042115914695,0.7004634820017197,0.16807511737089204,0.9653948535936113,0.7973197362227193
sim_67,0.7401640738044782,0.9055965608188349,0.16799624589394652,0.9987970441656644,0.8308007982717178
sim_59,0.9092199886459468,0.8451840576735743,0.16670568953406695,0.996900826446281,0.830195136912214
sim_97,0.6996792057836073,0.9762126342349868,0.1661191928671985,0.9996565934065934,0.833537400539395
sim_46,0.773816793703701,0.934670767704744,0.16556914393226718,0.9996565934065934,0.8340874494743262
sim_80,0.666911798845917,0.9858736814905237,0.1647834274952919,0.9994848016486347,0.8347013741533429
sim_96,0.9778047490033575,0.5356471342700209,0.16402741668636256,0.8289156626506022,0.6648882459642397
sim_47,0.701068693895168,0.9849121347299288,0.16379513806938872,1.0,0.8362048619306113
sim_48,0.7778891092819189,0.637234328276683,0.1635933806146572,0.9298567756151304,0.7662633950004731
sim_60,0.8871151580574649,0.5074701351117895,0.16236686390532543,0.7990933443230992,0.6367264804177738
sim_12,0.6542309945729231,0.8371687942131484,0.16216216216216217,0.9969018932874353,0.8347397311252731
sim_74,0.7020733584088932,0.8259185961569631,0.16167805797784587,0.9944770452191923,0.8327989872413465
sim_5,0.7448043854244197,0.6349511991777066,0.16125207493478777,0.9237303785780239,0.7624783036432361
sim_9,0.6381663827498397,0.6787595206163015,0.15944788196097096,0.9540394973070018,0.7945916153460308
sim_38,0.563046606641223,0.7093269583473988,0.15904761904761905,0.96994342291372,0.8108958038661009
sim_79,0.7674700243890139,0.5442140808926753,0.15870753148016153,0.8383496113215069,0.6796420798413454
sim_75,0.7613926056194436,0.5736978699734293,0.15727143533870205,0.8713676869430452,0.7140962516043432
sim_37,0.7479861275944516,0.5097815718724692,0.15689079637577494,0.8050030756612672,0.6481122792854922
sim_1,0.6291933591924813,0.7907705441733254,0.1561161351737268,0.9913434903047093,0.8352273551309825
sim_58,0.5858081329148025,0.7454415646768269,0.1558998808104887,0.9811122770199371,0.8252123962094484
